env_steps,gradient_updates,mean_episode_return,mean_episode_length,actor_grad_norm,actor_loss,actor_param_max,actual_executions,advantage_max,advantage_mean,advantage_min,advantage_std,alpha,alpha_loss,approx_kl,approx_kl_log,censored_positions,clip_fraction,count_FLAT,count_HOLD,count_LONG_100,count_LONG_25,count_LONG_50,count_LONG_75,count_SHORT_100,count_SHORT_25,count_SHORT_50,count_SHORT_75,critic_grad_norm,critic_loss,critic_param_max,early_stop_kl,entropy,forced_executions,forced_turnover,high_clip_fraction,hold_executions,initial_ratio_max_error,invalid_actions_sampled,kl_stop_epoch,max_abs_parameter_update,max_hold_streak,mean_abs_parameter_update,mean_consecutive_hold,mean_position_holding_duration,median_consecutive_hold,median_position_holding_duration,nonfinite_total,pct_flat,pct_hold,pct_long,pct_long_100,pct_long_25,pct_long_50,pct_long_75,pct_short,pct_short_100,pct_short_25,pct_short_50,pct_short_75,pct_transition_FLAT_LONG,pct_transition_FLAT_SHORT,pct_transition_LONG_FLAT,pct_transition_LONG_HOLD,pct_transition_LONG_SHORT,pct_transition_SHORT_FLAT,pct_transition_SHORT_HOLD,pct_transition_SHORT_LONG,policy_decisions,position_changes,q1,q2,return_max,return_min,reward_max,reward_mean,reward_min,reward_std,rollout_completed_episodes,rollout_transitions,sign_reversals,transitions_FLAT_LONG,transitions_FLAT_SHORT,transitions_LONG_FLAT,transitions_LONG_HOLD,transitions_LONG_SHORT,transitions_SHORT_FLAT,transitions_SHORT_HOLD,transitions_SHORT_LONG,turnover,unique_trajectories,worker_trajectory_size_max,worker_trajectory_size_mean,worker_trajectory_size_min,val_validation_score,val_n_periods,val_total_return,val_cumulative_log_return,val_annualized_return,val_per_period_volatility,val_annualized_volatility,val_sharpe,val_sortino,val_calmar,val_max_drawdown,val_max_drawdown_pct,val_max_drawdown_trough_index,val_max_drawdown_peak_index,val_average_drawdown,val_downside_deviation,val_turnover,val_mean_reward,val_policy_decisions,val_count_HOLD,val_pct_hold,val_count_FLAT,val_pct_flat,val_count_SHORT_100,val_pct_short_100,val_count_SHORT_75,val_pct_short_75,val_count_SHORT_50,val_pct_short_50,val_count_SHORT_25,val_pct_short_25,val_count_LONG_25,val_pct_long_25,val_count_LONG_50,val_pct_long_50,val_count_LONG_75,val_pct_long_75,val_count_LONG_100,val_pct_long_100,val_pct_long,val_pct_short,val_transitions_FLAT_LONG,val_pct_transition_FLAT_LONG,val_transitions_FLAT_SHORT,val_pct_transition_FLAT_SHORT,val_transitions_LONG_HOLD,val_pct_transition_LONG_HOLD,val_transitions_LONG_FLAT,val_pct_transition_LONG_FLAT,val_transitions_LONG_SHORT,val_pct_transition_LONG_SHORT,val_transitions_SHORT_HOLD,val_pct_transition_SHORT_HOLD,val_transitions_SHORT_FLAT,val_pct_transition_SHORT_FLAT,val_transitions_SHORT_LONG,val_pct_transition_SHORT_LONG,val_position_changes,val_actual_executions,val_sign_reversals,val_forced_executions,val_forced_turnover,val_hold_executions,val_mean_consecutive_hold,val_median_consecutive_hold,val_max_hold_streak,val_mean_position_holding_duration,val_median_position_holding_duration,val_censored_positions
10240,5,-0.034736980095767464,512.0,0.1619532154817644,-0.028686759057454762,0.08547012209892273,5375.2,4.802459812164306,8.175239774033116e-08,-3.0258484363555906,0.9999965865585715,0.0,0.0,0.002543784024409371,0.0025426853529643264,8.8,0.016679687500000002,528.6,768.8,552.0,658.8,544.6,609.0,627.8,590.6,571.6,692.2,0.011386786171415765,1.781476264682169e-05,0.06807738691568374,0.0,2.1821134805679323,0.0,0.0,0.0,0.0,4.76837158203125e-07,0.0,0.0,0.017460853233933447,4.0,0.0015149930259212852,1.1565553796733834,1.8358209878378489,1.0,1.0,0.0,8.908203125,12.50439453125,38.09521484375,9.05322265625,10.429524739583332,8.902669270833332,9.709798177083332,40.4921875,10.337727864583332,9.764973958333332,9.412434895833332,10.97705078125,4.582682291666666,4.469563802083334,4.199869791666666,5.75927734375,20.148111979166664,4.708333333333334,5.569173177083334,19.779296875,6144.0,5375.2,0.051812028884887694,0.0,0.0599041759967804,0.03322053030133247,0.0018126346869394184,-6.784566429384917e-05,-0.002413897402584553,0.00025806391835687866,4.0,2048.0,2480.6,272.8,264.6,252.6,354.8,1249.8,276.0,341.6,1230.8,4492.926528344862,4.0,512.0,512.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20480,10,-0.035391894260599285,512.0,0.20275208006573342,-0.03141180282924324,0.11659992337226868,14370.6,4.451696348190308,1.1143821865289283e-08,-3.7455538272857667,0.9999945015136913,0.0,0.0,0.00396439190874185,0.003980987143004313,27.0,0.040058593749999996,1251.0,2013.4,1446.2,1823.6,1456.2,1633.8,1591.6,1580.8,1470.2,2117.2,0.004910559017607913,4.9092095974856424e-06,0.0715973511338234,0.0,2.1674704420566564,0.0,0.0,0.0,0.0,5.006790161132813e-07,0.0,0.0,0.025437505915760994,4.0,0.0016034867148846388,1.1516153189655634,1.8691600459417497,1.0,1.0,0.0,7.663721478174603,12.303807818700397,38.85374813988095,8.837444971478174,11.173894004216269,8.887815445188492,9.954593718998016,41.17872256324405,9.739928230406747,9.633506169394842,8.955775669642858,12.849512493799603,3.8576311383928568,3.969877697172619,3.5272003658234126,5.628049820188492,20.64281451512897,4.136521112351191,5.568874782986112,20.34052191840278,16384.0,14370.6,0.018684161826968193,0.0,0.022457815147936343,0.008510418236255646,0.0032440772280097007,-7.040392281076636e-05,-0.002869934611953795,0.0003553468480342502,4.0,2048.0,6709.4,628.8,649.2,573.8,919.2,3379.8,677.2,913.4,3329.6,11925.584036541,4.0,512.0,512.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30720,15,-0.034868192163586616,512.0,0.25278036649747054,-0.031388302291743456,0.13177287876605986,23211.6,3.9643232345581056,7.389615319652876e-09,-4.1101621150970455,0.9999929527841507,0.0,0.0,0.004311061052142405,0.004396027260227129,44.8,0.04986328125,2036.2,3412.4,2244.2,2867.8,2283.6,2715.8,2427.4,2730.8,2347.8,3558.0,0.002087917219718267,1.9038837186258205e-06,0.07517314851284027,0.0,2.1198419427871706,0.0,0.0,0.0,0.0,5.245208740234375e-07,0.0,0.0,0.026921197772026062,4.6,0.0012900327099487185,1.153443938115454,1.9141336512293097,1.0,1.0,0.0,7.631456921984267,12.77043431828588,38.034059527711875,8.450826842428405,10.778361612345988,8.593854225201882,10.211016847735596,41.56404923201798,9.135283011259572,10.241862629557943,8.826266344332751,13.360637246867716,3.7082183766754078,4.0912903827942895,3.177571939778971,5.688322419767732,20.175075412868384,4.453884982205294,5.9492766348235095,19.693302303165584,26624.0,23211.6,0.004281861707568169,0.0,0.008763409685343504,-0.00224109988193959,0.003221378312446177,-6.605622646499283e-05,-0.002561237756162882,0.0002641794686527116,4.0,2048.0,10596.2,988.2,1092.8,845.2,1517.6,5363.0,1191.0,1590.8,5233.2,18849.27170038523,4.0,512.0,512.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40960,20,-0.03339333216834163,512.0,0.28725923175111,-0.03147054033353924,0.1432913213968277,31496.0,3.744695234298706,-1.5029915090281065e-08,-3.9851383686065676,0.9999922286781745,0.0,0.0,0.004666663770677032,0.0046879302442539485,62.2,0.05458984375,3013.6,5368.0,2776.6,3927.6,3039.2,3537.2,3117.0,3934.4,3236.6,4913.8,0.0010954202412019622,1.2501989465363295e-06,0.07644655555486679,0.0,2.0565137398242945,0.0,0.0,0.0,0.0,7.390975952148438e-07,0.0,0.0,0.027399372309446335,5.4,0.0013792405603453516,1.180707707457323,1.975116213111826,1.0,1.0,0.0,8.161631171794376,14.515730063612617,36.070786084101954,7.554049433815467,10.657248692205775,8.247388820694121,9.612099137386588,41.251852680491055,8.464826701308265,10.67415461164592,8.777479803599071,13.335391563937801,3.851895915301428,4.47836214478253,3.164391632132568,6.237484160673589,19.032514836560996,4.997239539661807,6.832635848678836,18.409282945462998,36864.0,31496.0,-0.00031926003284752367,0.0,0.005180138163268566,-0.006382903642952442,0.0019319572485983372,-5.6579594169256326e-05,-0.00268692416138947,0.00025554726603522056,4.0,2048.0,13780.0,1422.0,1653.8,1166.6,2305.8,7005.8,1847.0,2526.2,6774.2,24764.821625291377,4.0,512.0,512.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51200,25,-0.03130690814218902,512.0,0.37766854932284166,-0.03260438680648804,0.16194504201412202,39065.0,3.534751319885254,5.330556618332594e-09,-3.95518012046814,0.9999916130556589,0.0,0.0,0.005901288640896392,0.0058499987435061485,81.0,0.07625,3977.0,8039.0,3124.6,4945.6,3842.4,4289.8,3731.6,4852.8,4179.2,6122.0,0.00046907106906724443,9.822601091968864e-07,0.08062120676040649,0.0,1.9453233450651168,0.0,0.0,0.0,0.0,8.821487426757813e-07,0.0,0.0,0.03199402838945389,8.0,0.0013920463155955077,1.2416700172129707,2.0745330731351705,1.0,2.0,0.0,8.444506105307736,17.014653933306278,34.42374891370518,6.649100231742895,10.503313603572604,8.156911435908974,9.114423642480707,40.11709104768081,7.932446201754542,10.30690056377047,8.872015391198476,13.005728890957323,4.004074212132975,4.612302950531126,3.122043090797337,7.4650177501676325,17.720615596473273,5.322463014510399,7.685849309770845,16.909426824166548,47104.0,39065.0,-0.002930701966397464,0.0,0.0022944525349885224,-0.008763187937438488,0.0016980831045657397,-4.484611733815907e-05,-0.0022072748048231005,0.0002584990803420744,4.0,2048.0,16291.6,1885.8,2172.2,1469.6,3530.2,8337.2,2507.4,3628.0,7954.4,29768.86908524694,4.0,512.0,512.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51200,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.454023338550806,512,-0.00038472952281942696,-0.0003848035502099118,-0.05344546534801553,2.4025995919661777e-05,0.006495140794579269,-8.45333800444755,-9.31396252113235,-77.98454081601197,-0.0006853341032565519,0.0006853341032565519,427,32,0.000252532801549705,2.180595680319387e-05,12.51100438109721,-3.387058809336925e-07,14336.0,14304.0,99.77678571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.22321428571428573,0.0,0.0,0.0,0.0,0.22321428571428573,0.0,25.0,0.17438616071428573,0.0,0.0,9285.0,64.76702008928571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,242.4406779661017,191.0,512.0,372.68,397.0,25.0
61440,30,-0.030233265045634197,512.0,0.4006714583116455,-0.029747960264794527,0.17431049048900604,46254.6,3.976214551925659,1.2130513482588866e-09,-4.867466020584106,0.9999924670440479,0.0,0.0,0.005325325293479695,0.005345275916624814,99.4,0.06048828125000001,4733.8,11089.4,3396.8,5930.6,4662.2,5038.8,4378.6,5857.6,5034.2,7222.0,0.0005730380154573664,1.466591223930891e-06,0.07960553020238877,0.0,1.907707116603851,0.0,0.0,0.0,0.0,9.059906005859375e-07,0.0,0.0,0.030501528456807137,10.0,0.0016638338332995773,1.295176780921439,2.201259388123001,1.0,2.0,0.0,8.258663409895899,19.314664958185972,33.19648632667221,5.932164876500814,10.343481213345841,8.130708113550922,8.790132123274635,39.23018530524592,7.637083304277539,10.215267053174516,8.780982782632837,12.596852165161028,3.9470703481344644,4.484928478614497,3.025451498259284,8.824708778709317,16.5830951032325,5.233211911636615,8.422229213430047,15.733596654208858,57344.0,46254.6,-0.0035260244272649287,0.0,0.0024321573320776222,-0.010926474817097187,0.0034418371273204685,-4.856454996143493e-05,-0.00422757314518094,0.00037738745059330146,4.0,2048.0,18514.4,2262.8,2570.4,1734.6,5068.6,9500.6,2999.2,4834.4,9013.8,34220.15016911813,4.0,512.0,512.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71680,35,-0.028721838705282155,512.0,0.3856662540025388,-0.030690118921920657,0.1860603630542755,53587.8,4.508263683319091,-2.699303536246589e-09,-4.298151588439941,0.9999913184451372,0.0,0.0,0.005378178345013678,0.005489469557069243,119.0,0.06857421875,5528.0,13996.2,3639.0,6912.8,5500.6,5843.2,5043.4,6812.6,5917.6,8390.6,0.0003660220394146336,7.851600291530758e-07,0.08103737235069275,0.0,1.8682860523462295,0.0,0.0,0.0,0.0,1.0013580322265625e-06,0.0,0.0,0.026521415263414384,10.0,0.00118471197783947,1.3195791498250324,2.3102460039465353,1.0,2.0,0.0,8.179655723233667,20.69340880998202,32.40709461822669,5.390271108701224,10.230787639225756,8.138764869420893,8.647271000878815,38.719840848557624,7.464083470058661,10.083876145479728,8.75417417256148,12.417707060457753,3.940555171633926,4.415142292368744,3.0738862190255043,9.339654836171547,15.627865763957022,5.105769504208163,9.208839295360628,14.838475975798014,67584.0,53587.8,-0.0039036878384649753,0.0,0.0009622263605706394,-0.009582082834094762,0.0021786398719996214,-3.838531378923965e-05,-0.002544717560522258,0.00027763840590469687,4.0,2048.0,20576.8,2663.4,2983.6,2077.6,6313.8,10555.2,3450.4,6232.0,10021.6,38574.332164342384,4.0,512.0,512.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81920,40,-0.027534550339149966,512.0,0.4493684662908213,-0.029565632930025454,0.19188819825649261,60420.2,3.8056849002838136,-4.923207086449111e-09,-4.161063957214355,0.9999904534844548,0.0,0.0,0.005665341413133154,0.00580652441480197,136.6,0.06541015624999999,6227.4,17403.8,3829.0,7825.0,6358.8,6617.0,5719.6,7521.0,6931.2,9391.2,0.0004235823462184948,6.705266788742392e-07,0.08176441192626953,0.0,1.7348835998773573,0.0,0.0,0.0,0.0,1.049041748046875e-06,0.0,0.0,0.021997448056936264,10.0,0.0010441498714499175,1.3651839806883317,2.42078949386247,1.0,2.0,0.0,8.004219749465431,22.344667797304517,31.653657964526076,4.9245395525206375,10.055380910309982,8.17078434432978,8.502953157365678,37.99745448870398,7.350994373121223,9.668153071704676,8.905820905435421,12.072486138442656,3.89828612871633,4.281450560940179,3.0536510087548328,9.65622275156609,14.844806028194188,4.950568740710599,10.482670494697633,14.072140460298357,77824.0,60420.2,-0.0036088709253817796,0.0,0.00021153145935386418,-0.0082997958175838,0.0021148995030671356,-3.754596045482638e-05,-0.0033452366944402455,0.000264086405887963,4.0,2048.0,22493.4,3033.2,3330.8,2376.2,7518.0,11547.2,3851.2,8168.8,10946.2,42583.67614813555,4.0,512.0,512.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92160,45,-0.026060098824668407,512.0,0.491337906037153,-0.02677907314151526,0.1941144198179245,66547.8,4.646593332290649,-4.444403067793701e-09,-3.7156214714050293,0.999991794487167,0.0,0.0,0.005106241889417141,0.005341342189349234,154.0,0.06605468750000001,6851.0,21516.2,3961.0,8675.0,7199.6,7370.6,6410.0,8098.4,7717.8,10264.4,0.0004623558558317927,1.2159285661539342e-06,0.0844349667429924,0.0,1.5224955034255983,0.0,0.0,0.0,0.0,1.4781951904296875e-06,0.0,0.0,0.021663179248571397,11.4,0.0012790684588253499,1.4342327964452513,2.549956998416873,1.0,2.0,0.0,7.782253639079495,24.40968930229706,30.905310716055062,4.5019496088413815,9.85422755599905,8.176220850957128,8.372912700257503,36.90274634256838,7.278509050446809,9.200806494644068,8.76537505859252,11.65805573888498,3.8355456129716203,4.121579868320874,2.986648164574473,10.186887229629702,14.04556082872241,4.795605474505022,11.91859396320758,13.269114885344104,88064.0,66547.8,-0.0031783717684447767,0.0,0.0017527937889099121,-0.009026431664824485,0.0036570901051163674,-2.786032562160643e-05,-0.0035900140879675745,0.0003737736481002936,4.0,2048.0,24039.0,3376.8,3628.2,2629.2,8975.2,12361.4,4221.8,10510.8,11677.6,46039.49149438276,4.0,512.0,512.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
